LANGCODE	Mood	Aspect	PronType	Voice	VerbForm	Definite	NumForm	Polarity	NumValue	Gender	Case	Person	AdpType	Number	NumType	Reflex	Tense	Person[psor]	Polite	Number[psor]	Hyph	Connegative	Abbr	Poss	Degree	Animacy	Evident	PunctType	PunctSide	PrepCase	Typo	Variant	Number[psed]	NameType	Subcat	Distance	Style	Gender[psor]	Foreign	PartForm	InfForm	Clitic	Derivation	Position	Strength	AdvType	Echo	Orth	Animacy[gram]	Uninflect	Xtra	HebSource	VerbType	HebBinyan	Prefix	HebExistential	AdjType	Dialect	Form	PartType	NounType	Number[erg]	Person[dat]	Number[abs]	Gender[erg]	Number[dat]	Person[abs]	Polite[abs]	Polite[dat]	Polite[erg]	Gender[dat]	Person[erg]	Emphatic	Agglutination	SubGender	Clusivity
pl_lfg		1.1272274517236325	1.9399059102963665	3.45871254705237	1.1881180391107427	1.9580179958800727	0	0	1.0592012879524368	0	2.7365449789958474	5.018293473736463	2.854491856658672	1.0	1.7679500121908889	1.0212379987017342	1.0	2.454231922948449	0	1.0	1.9591799971530044	0	0	0	1.0	1.2411508962662152	0	0	1.474858904514765	1.9675691065409335	1.6595833529039867	0	1.8501141392173088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.6493848884661177	2.2431198440641826	0
ko_kaist		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kk_ktb		2.3765251626651454	1.967032300542503	4.006027217864519	1.4174111811317323	3.872092480600222	0	0	1.0	0	1.8420227750373133	4.602709959396083	1.2667873537562073	0	1.2702542710002684	1.0	0	1.6534826042308477	1.0717741630958302	0	1.0717741630958302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bxr_bdt		2.3729886707112526	1.4575692649810903	1.7547653506033232	0	1.6272845566385523	0	0	0	0	1.9601317042077895	2.368527557453107	2.544219318119696	0	1.0	0	1.0	1.9796263300525183	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
it_isdt		1.4678362827461797	0	2.419544908286556	0	1.8511828046563363	1.4094250397681791	0	0	0	1.969207146365615	0	1.4743046977865673	0	1.8228825995264524	1.0	0	2.552224373141467	0	0	0	0	0	0	1.0	1.6515696896875558	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
da_ddt		1.0	0	3.0455633367289714	1.1738862898701345	2.4276050673524687	1.7911946330933863	0	0	0	1.8603947838208046	2.68234307684487	2.0859574541683616	0	1.758295666774046	0	1.0	1.966982064979814	0	1.0	1.738733437088823	0	0	0	1.0	1.3222224358258994	0	0	0	0	0	0	0	0	0	0	0	1.1665796643952542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
no_nynorsk		1.0490570810738917	0	3.8142251755044425	0	1.3886557264792367	1.9128385820916611	0	1.0	0	2.8805474487118703	2.139772292739256	1.9496663628493376	0	1.798625770848915	1.0	0	1.7645435095198279	0	0	0	0	0	1.0	1.0	1.2077368876005892	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fr_gsd		1.2202469752153746	0	2.076242739774378	0	1.9200063995207524	1.6280594803842436	0	1.0	0	1.9783559089880325	2.0	1.3309848456626772	0	1.7244692010599747	1.0	1.0	2.5199869657494736	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsb_ufal		1.1385331173948228	0	4.565345288307871	1.9796263300525183	1.8496354268187662	0	0	1.0	0	2.814130597136856	5.207528668341227	1.4944715249785616	0	1.890671389944022	1.9601317042077895	1.0	1.9580394737110087	0	0	1.0	0	0	1.0	1.0	1.1353381605186843	1.8550354523680772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
la_ittb		1.5935362082313191	1.6097662272218793	5.37037921776677	1.837819609077798	2.5421446671226	0	0	0	0	2.871812587857115	4.545842189762223	1.1431121055644473	0	1.6296314196482649	2.108877783173984	1.0	1.8445112445617542	0	0	0	0	0	1.0	1.0	1.1455033327570878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sl_ssj		1.3604718671757414	1.997896505060345	3.408528774689851	0	2.280745605623393	1.99521155177256	2.0534529541760507	1.3367433866021696	0	2.804562285125558	5.036308090759766	1.8762124619281273	0	1.9740598262793148	1.8300844680149715	1.0	1.3067121580271555	0	0	2.259847076547798	0	0	0	1.0	1.2114152359163628	1.5610884131570473	0	0	0	0	0	1.1458227361094582	0	0	0	0	0	1.9251400437354935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko_gsd		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_imst		1.9896345258937829	1.9369252395067755	2.2610510514294084	2.4200212328242143	2.6798796710499073	0	0	1.410375355731981	0	0	4.490454204659582	1.4974018200492785	0	1.5041193156892643	1.2992205177568863	1.0	3.4090573860252382	1.7393026535389393	1.1277121088798712	1.4460731447774524	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fr_spoken		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id_gsd		0	0	1.8546444429287536	1.7958288944812084	0	0	0	1.0	0	1.2448717614859939	0	1.999592110403971	0	1.1111485624940072	1.0	0	0	1.2650283264885203	1.8898815748423097	1.0	0	0	0	0	1.2026082854895899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.907340963687835
pt_bosque		1.4094105865438564	0	2.6670238148437404	1.0	1.7748946714929281	1.3922631313152625	0	1.0	0	2.0803843145429735	2.1784102259023532	1.2830305483944753	1.0	1.7425492897791348	1.6125724130443586	0	3.013804432022549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
got_proiel		1.8546400824803593	1.0	1.8907108448445495	1.3416832424488383	2.0994062585984583	0	0	0	0	2.92726502472006	3.9504699876725886	2.7086354450796817	0	1.8651518258717747	0	1.0	1.9058792704133	0	0	0	0	0	0	1.0	1.469915074022606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9630420653148808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nl_lassysmall		0	0	1.8679737338797924	0	1.0	0	0	0	0	2.0228461095343317	1.9449737157528486	1.1996462309557698	0	1.2457927749957634	0	1.0	1.9883665677915008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zh_gsd		0	0	0	0	0	0	0	0	0	0	0	1.5114422942442611	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
no_nynorsklia		1.0	0	2.511272120594564	0	1.0	1.9423554518931438	0	1.0	0	2.720384201545085	1.5498518101826715	2.414753373779971	0	1.840130425029365	1.0	1.0	1.66860743492987	0	0	0	0	0	0	1.0	1.230404430992374	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
